Name,Age,Gender,Salary,Location,Education,Hobbies,Experience,Skill,Language
Person2138,56,Male,60000,,Master's,Sports,,Communication,English
Person4156,57,Male,50000,Los Angeles,,Sports,,Communication,
Person3250,58,Male,75000,New York,,Travel,16,Communication,French
Person3794,51,Female,,Los Angeles,Master's,Travel,0,Communication,
Person1126,59,Female,50000,Chicago,High School,,,,French
Person7014,45,Male,75000,New York,,,,Data Analysis,French
Person781,34,Female,,New York,,Sports,7,,English
Person9407,42,Female,,Los Angeles,Master's,,,Programming,English
Person8059,52,Male,75000,,,Sports,,Communication,French
Person921,25,Male,,New York,Bachelor's,Sports,,,Spanish
Person8761,25,Male,60000,,High School,,7,Communication,Spanish
Person8373,30,Male,75000,,Bachelor's,Sports,18,Programming,English
Person9049,33,Female,,Los Angeles,Bachelor's,Travel,,Programming,English
Person147,34,Female,60000,,High School,Sports,,Data Analysis,French
Person5379,50,Male,50000,New York,,Travel,13,,Spanish
Person4639,48,Female,,,Master's,Travel,1,,Spanish
Person7398,32,Male,,New York,Master's,Reading,,,Spanish
Person6051,37,Male,50000,Los Angeles,Master's,,15,Programming,French
Person6423,60,Male,60000,Los Angeles,,Reading,7,Programming,
Person2649,47,Male,75000,Chicago,Bachelor's,Reading,0,Data Analysis,French
Person9745,58,Female,75000,Chicago,Bachelor's,Reading,1,Data Analysis,Spanish
Person5507,47,Male,50000,Los Angeles,Bachelor's,Travel,,Data Analysis,French
Person2412,43,Male,,,Bachelor's,Travel,16,Communication,Spanish
Person8909,47,Male,75000,New York,Master's,Sports,9,Communication,English
Person8817,52,Male,75000,New York,Master's,Reading,0,,English
Person2841,32,Female,60000,Los Angeles,Master's,Reading,20,Programming,
Person8862,56,Male,75000,Chicago,Master's,Reading,,Communication,English
Person2239,40,Female,75000,,High School,,4,,English
Person1303,43,Female,50000,New York,Master's,,16,Programming,
Person5001,51,Male,75000,Chicago,,Travel,9,Programming,Spanish
Person2768,41,Female,,Los Angeles,High School,Travel,,Data Analysis,French
Person5031,33,Male,75000,Chicago,,Reading,7,,Spanish
Person7156,47,Female,75000,,Master's,Sports,,Data Analysis,English
Person5299,44,Female,60000,,Master's,Reading,,Programming,French
Person9821,36,Female,60000,Los Angeles,Master's,,,,English
